Using the default Training/Test file from the data folder...

Initializing English Model For The First Time...
processing the balanced training set...
Documents in Only Training folder
['data/train/hasoc_en_train_A.tsv']
Documents in Augmented Training folder
['data/augment/Trac_en.tsv']


Distribution of classes in Training Set:
['NOT', 'HOF']
[10988, 10988]


Distribution of classes in Test Set:
['NOT', 'HOF']
[208, 297]


Using existing English Doc2Vec Model

##### Output of Binary(HOF/NOT) + Non-Linear SVM + Doc2Vec 
 For different values of Gamma (0.1-10.0) [C= default = 1.0] #####
Gamma= 0.1    Accuracy= 0.6376237623762376      F1(macro)= 0.6309319850959063
Gamma= 0.2    Accuracy= 0.5841584158415841      F1(macro)= 0.5726134055517942

Gamma= 0.3    Accuracy= 0.6514851485148515      F1(macro)= 0.6418093303672181	(Highest)

Gamma= 0.4    Accuracy= 0.6316831683168317      F1(macro)= 0.6129853648889182
Gamma= 0.5    Accuracy= 0.6237623762376238      F1(macro)= 0.5724153297682709
Gamma= 0.6    Accuracy= 0.6118811881188119      F1(macro)= 0.5219835413205578
Gamma= 0.7    Accuracy= 0.592079207920792      F1(macro)= 0.4553859362566487
Gamma= 0.8    Accuracy= 0.5881188118811881      F1(macro)= 0.42495510883370563
Gamma= 0.9    Accuracy= 0.592079207920792      F1(macro)= 0.4201226309921962
Gamma= 1.0    Accuracy= 0.592079207920792      F1(macro)= 0.409135314431116
Gamma= 1.1    Accuracy= 0.592079207920792      F1(macro)= 0.40532537613755887
Gamma= 1.2    Accuracy= 0.592079207920792      F1(macro)= 0.40532537613755887
Gamma= 1.3    Accuracy= 0.5861386138613861      F1(macro)= 0.39860741534236277
Gamma= 1.4    Accuracy= 0.5841584158415841      F1(macro)= 0.39377829606256004
Gamma= 1.5    Accuracy= 0.5841584158415841      F1(macro)= 0.39377829606256004
Gamma= 1.6    Accuracy= 0.5821782178217821      F1(macro)= 0.3928524623791318
Gamma= 1.7    Accuracy= 0.5841584158415841      F1(macro)= 0.397662213740458
Gamma= 1.8    Accuracy= 0.5841584158415841      F1(macro)= 0.397662213740458
Gamma= 1.9    Accuracy= 0.5841584158415841      F1(macro)= 0.397662213740458
Gamma= 2.0    Accuracy= 0.5841584158415841      F1(macro)= 0.397662213740458
Gamma= 2.1    Accuracy= 0.5841584158415841      F1(macro)= 0.397662213740458
